trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
796,False,"{'a': 0.6, 'e': 0.4509502456947299}",25,0,-85.62174363766326,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
797,False,"{'a': 0.6, 'e': 0.45049929544903516}",25,0,-11.759521470643131,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
798,False,"{'a': 0.6, 'e': 0.4500487961535861}",20,0,-93.65519386708094,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
799,False,"{'a': 0.6, 'e': 0.44959874735743255}",25,15,-13.433581893126956,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
800,False,"{'a': 0.6, 'e': 0.4491491486100751}",25,0,23.818485729147174,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
801,False,"{'a': 0.6, 'e': 0.44869999946146505}",25,0,-15.875967907027846,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
802,False,"{'a': 0.6, 'e': 0.44825129946200354}",25,0,-29.540707608436286,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
803,False,"{'a': 0.6, 'e': 0.4478030481625416}",30,4,-33.34542296758067,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 0}",1
804,False,"{'a': 0.6, 'e': 0.447355245114379}",30,14,-27.325187889558578,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 0}",1
805,False,"{'a': 0.6, 'e': 0.44690788986926466}",20,11,8.280446007225654,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
806,False,"{'a': 0.6, 'e': 0.4464609819793954}",20,8,10.481816003024123,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
807,False,"{'a': 0.6, 'e': 0.44601452099741595}",20,6,5.502005162554699,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
808,False,"{'a': 0.6, 'e': 0.44556850647641855}",30,0,-31.065879673531267,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
809,False,"{'a': 0.6, 'e': 0.4451229379699421}",25,9,-42.86338224146929,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 1}",1
810,False,"{'a': 0.6, 'e': 0.4446778150319722}",30,4,-87.25258650365456,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 1}",1
811,False,"{'a': 0.6, 'e': 0.44423313721694024}",30,13,-20.119339614688876,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
812,False,"{'a': 0.6, 'e': 0.44378890407972327}",30,21,14.049145243673713,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
813,False,"{'a': 0.6, 'e': 0.44334511517564357}",25,14,-4.604804107520638,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
814,False,"{'a': 0.6, 'e': 0.44290177006046794}",25,8,20.416963355520295,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
815,False,"{'a': 0.6, 'e': 0.4424588682904074}",20,0,17.343598590547266,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
816,False,"{'a': 0.6, 'e': 0.44201640942211706}",20,16,6.3234608450525975,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.6, 'e': 0.4415743930126949}",25,10,-38.739043674085806,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
818,False,"{'a': 0.6, 'e': 0.44113281861968223}",20,0,-33.77269649677756,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
819,False,"{'a': 0.6, 'e': 0.44069168580106255}",25,0,-57.3310633681874,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
820,False,"{'a': 0.6, 'e': 0.4402509941152615}",20,8,9.010013072668198,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
821,False,"{'a': 0.6, 'e': 0.4398107431211462}",20,5,16.197380424625567,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
822,False,"{'a': 0.6, 'e': 0.4393709323780251}",20,8,0.9068071939338909,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
823,False,"{'a': 0.6, 'e': 0.43893156144564704}",20,0,-21.633343955252993,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
824,False,"{'a': 0.6, 'e': 0.4384926298842014}",25,0,3.8824299691632955,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
825,False,"{'a': 0.6, 'e': 0.4380541372543172}",20,0,-15.379966182133739,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
826,False,"{'a': 0.6, 'e': 0.4376160831170629}",20,0,-112.32473006278168,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
827,False,"{'a': 0.6, 'e': 0.4371784670339458}",25,14,0.8243039209233078,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
828,False,"{'a': 0.6, 'e': 0.43674128856691186}",25,13,20.27555681478838,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.6, 'e': 0.43630454727834495}",25,5,-26.797261501317276,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
830,False,"{'a': 0.6, 'e': 0.4358682427310666}",20,15,-0.4394931302473073,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
831,False,"{'a': 0.6, 'e': 0.43543237448833555}",25,0,-14.290220566290923,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
832,False,"{'a': 0.6, 'e': 0.4349969421138472}",20,0,1.0206971614134677,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
833,False,"{'a': 0.6, 'e': 0.43456194517173335}",25,20,8.58043479962151,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
834,False,"{'a': 0.6, 'e': 0.43412738322656164}",30,0,-71.4363814118841,"{0: 24, 1: 0, 2: 2, 3: 4, 4: 0}",0
835,False,"{'a': 0.6, 'e': 0.43369325584333507}",25,11,-28.341332795206746,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
836,False,"{'a': 0.6, 'e': 0.4332595625874917}",35,0,-26.09725152983232,"{0: 30, 1: 3, 2: 1, 3: 0, 4: 1}",0
837,False,"{'a': 0.6, 'e': 0.43282630302490427}",25,11,-36.430200865468635,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
838,False,"{'a': 0.6, 'e': 0.43239347672187933}",20,0,17.42602029900007,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
839,False,"{'a': 0.6, 'e': 0.4319610832451575}",20,7,11.224055228694159,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
840,False,"{'a': 0.6, 'e': 0.4315291221619123}",30,14,-56.09996273193964,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
841,False,"{'a': 0.6, 'e': 0.43109759303975037}",20,8,-1.7820951003652732,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
842,False,"{'a': 0.6, 'e': 0.43066649544671065}",20,10,7.069908782838684,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
843,False,"{'a': 0.6, 'e': 0.43023582895126394}",25,0,-45.591520897166234,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
844,False,"{'a': 0.6, 'e': 0.42980559312231265}",25,0,-59.88494098535847,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
845,False,"{'a': 0.6, 'e': 0.42937578752919037}",25,7,21.625994720731228,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
846,False,"{'a': 0.6, 'e': 0.42894641174166115}",25,13,-19.949255877485296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
847,False,"{'a': 0.6, 'e': 0.4285174653299195}",25,15,-37.65669556647538,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
848,False,"{'a': 0.6, 'e': 0.42808894786458956}",25,0,-65.31508090426928,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
849,False,"{'a': 0.6, 'e': 0.427660858916725}",25,19,12.108303579063293,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
850,False,"{'a': 0.6, 'e': 0.42723319805780824}",20,12,14.093085449370395,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.6, 'e': 0.4268059648597505}",20,9,-25.28738056695183,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
852,False,"{'a': 0.6, 'e': 0.4263791588948907}",30,2,-24.418701612361183,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 1}",1
853,False,"{'a': 0.6, 'e': 0.4259527797359958}",20,5,10.079525135063006,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
854,False,"{'a': 0.6, 'e': 0.4255268269562598}",25,0,-30.110593502326715,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
855,False,"{'a': 0.6, 'e': 0.4251013001293036}",25,10,-44.32602049858126,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
856,False,"{'a': 0.6, 'e': 0.42467619882917423}",35,0,-50.97965048195042,"{0: 30, 1: 0, 2: 3, 3: 1, 4: 1}",0
857,False,"{'a': 0.6, 'e': 0.4242515226303451}",25,6,-57.383697431522904,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
858,False,"{'a': 0.6, 'e': 0.42382727110771473}",20,3,24.278921159497667,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
859,False,"{'a': 0.6, 'e': 0.423403443836607}",30,1,-18.515633119553286,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 0}",1
